AMBulatório;Ambulatório sigla;Endereço;Médico;Especialidade;Dia da Semana;Período;Entrada;Saída;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;ISABELLA CAMACHO DOMINGUES ;GERIATRA ;Segunda;Tarde;13:00;17:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;ISABELLA CAMACHO DOMINGUES ;GERIATRA ;Terça;Tarde;13:00;17:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;ISABELLA CAMACHO DOMINGUES ;GERIATRA ;Quarta;Tarde;13:00;17:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;ISABELLA CAMACHO DOMINGUES ;GERIATRA ;Quinta ;Tarde;13:00;17:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;ISABELLA CAMACHO DOMINGUES ;GERIATRA ;Sexta;Tarde;13:00;17:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;MESAQUE ROCHA DE ANDRADE ;CLINICO GERAL ;Segunda;Manhã;10:00;14:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;MESAQUE ROCHA DE ANDRADE ;CLINICO GERAL ;Terça;Manhã;10:00;14:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;MESAQUE ROCHA DE ANDRADE ;CLINICO GERAL ;Quarta;Manhã;10:00;14:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;MESAQUE ROCHA DE ANDRADE ;CLINICO GERAL ;Quinta ;Manhã;10:00;14:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;MESAQUE ROCHA DE ANDRADE ;CLINICO GERAL ;Sexta;Manhã;10:00;14:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;ADEMAR TEIZO WATANABE ;ORTOPEDISTA;Segunda;Tarde;14:00;18:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;ADEMAR TEIZO WATANABE ;ORTOPEDISTA;Terça;Tarde;14:00;18:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;ADEMAR TEIZO WATANABE ;ORTOPEDISTA;Quarta;Tarde;14:00;18:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;ADEMAR TEIZO WATANABE ;ORTOPEDISTA;Quinta ;Manhã;07:00;11:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;ALEXANDRE DE DEUS SILVA ;ULTRASSONOGRAFISTA ;Segunda;Manhã;07:00;13:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;ALEXANDRE DE DEUS SILVA ;ULTRASSONOGRAFISTA ;Quinta ;Tarde;13:00;18:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;ALEXANDRE DE DEUS SILVA ;ULTRASSONOGRAFISTA ;Sexta;Tarde;13:00;18:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;CAMILA AP SOUZA ELIAS CAVALLARI ;GINECOLOGISTA ;Terça;Manhã;07:30;13:30;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;CAMILA AP SOUZA ELIAS CAVALLARI ;GINECOLOGISTA ;Quarta;Manhã;07:30;13:30;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;CAMILA AP SOUZA ELIAS CAVALLARI ;GINECOLOGISTA ;Quinta ;Manhã;07:30;11:30;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;CARLOS EDUARDO CAVALLARI ;ORTOPEDISTA;Segunda;Manhã;11:00;13:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;CARLOS EDUARDO CAVALLARI ;ORTOPEDISTA;Terça;Manhã;07:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;CARLOS EDUARDO CAVALLARI ;ORTOPEDISTA;Quarta;Tarde;17:00;19:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;CARLOS EDUARDO CAVALLARI ;ORTOPEDISTA;Quinta ;Manhã;10:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;CARLOS EDUARDO CAVALLARI ;ORTOPEDISTA;Sexta;Manhã;09:00;13:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;CARLOS EDUARDO CAVALLARI ;ORTOPEDISTA;Terça;Tarde;13:00;19:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;CARLOS EDUARDO CAVALLARI ;ORTOPEDISTA;Sexta;Tarde;15:00;17:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIELE FOSSALUSSA NESPOLO ;OFTALMOLOGISTA ;Terça;Manhã;07:50;11:20;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIELE FOSSALUSSA NESPOLO ;OFTALMOLOGISTA ;Quarta;Manhã;07:50;11:20;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIELE FOSSALUSSA NESPOLO ;OFTALMOLOGISTA ;Quinta ;Manhã;07:50;11:20;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIELE FOSSALUSSA NESPOLO ;OFTALMOLOGISTA ;Terça;Tarde;13:00;16:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIELE FOSSALUSSA NESPOLO ;OFTALMOLOGISTA ;Quarta;Tarde;13:00;16:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIELE FOSSALUSSA NESPOLO ;OFTALMOLOGISTA ;Quinta ;Tarde;13:00;16:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DURAYD EL DROUBI ;ULTRASSONOGRAFISTA ;Segunda;Manhã;07:00;11:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DURAYD EL DROUBI ;ULTRASSONOGRAFISTA ;Terça;Manhã;07:00;11:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DURAYD EL DROUBI ;ULTRASSONOGRAFISTA ;Quarta;Tarde;13:00;16:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DURAYD EL DROUBI ;ULTRASSONOGRAFISTA ;Sexta;Manhã;08:00;11:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DURAYD EL DROUBI ;ULTRASSONOGRAFISTA ;Segunda;Tarde;13:00;15:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIEL GODOI BERNARDES DA SILVA ;CARDIOLOGISTA;Segunda;Manhã;07:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIEL GODOI BERNARDES DA SILVA ;CARDIOLOGISTA;Segunda;Tarde;13:00;18:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIEL GODOI BERNARDES DA SILVA ;CARDIOLOGISTA;Quarta;Manhã;07:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIEL GODOI BERNARDES DA SILVA;CARDIOLOGISTA;Quarta;Tarde;13:00;18:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIELE REZEK;CARDIOLOGISTA;Segunda;Manhã;08:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIELE REZEK;CARDIOLOGISTA;Terça;Manhã;08:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIELE REZEK;CARDIOLOGISTA;Quarta;Manhã;08:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIELE REZEK;CARDIOLOGISTA;Quinta ;Manhã;09:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIELE REZEK;CARDIOLOGISTA;Sexta;Manhã;08:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;DANIELE REZEK;CARDIOLOGISTA;Quarta;Tarde;13:00;16:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;EDMUNDO PEREIRA CAPARELLI DE OLIVEIRA;CARDIOLOGISTA;Segunda;Tarde;14:00;18:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;EDMUNDO PEREIRA CAPARELLI DE OLIVEIRA;CARDIOLOGISTA;Terça;Tarde;14:00;18:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;EDMUNDO PEREIRA CAPARELLI DE OLIVEIRA;CARDIOLOGISTA;Quarta;Tarde;13:00;17:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;EDMUNDO PEREIRA CAPARELLI DE OLIVEIRA;CARDIOLOGISTA;Segunda;Tarde;14:00;18:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;EDUARDO SEGOVIA BADRA;CARDIOLOGISTA;Terça;Manhã;07:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;EDUARDO SEGOVIA BADRA;CARDIOLOGISTA;Terça;Tarde;13:00;17:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;EDUARDO SEGOVIA BADRA;CARDIOLOGISTA;Quinta ;Manhã;07:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;FERNANDA MARINI;GINECOLOGISTA;Segunda;Tarde;13:30;17:30;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;FERNANDA MARINI;GINECOLOGISTA;Terça;Tarde;13:30;17:30;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;FERNANDO ROBERTO ALVES PEREIRA;ORTOPEDISTA;Segunda;Manhã;07:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;FERNANDO ROBERTO ALVES PEREIRA;ORTOPEDISTA;Quinta ;Manhã;07:00;12:30;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;FERNANDO ROBERTO ALVES PEREIRA;ORTOPEDISTA;Sexta;Manhã;07:00;12:30;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;FERNANDO ROBERTO ALVES PEREIRA;ORTOPEDISTA;Segunda;Tarde;13:00;17:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;FERNANDO ROBERTO ALVES PEREIRA;ORTOPEDISTA;Quinta ;Tarde;13:30;15:30;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;FUAD JORGE DAHER;UROLOGISTA;Segunda;Manhã;09:00;11:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;FUAD JORGE DAHER;UROLOGISTA;Terça;Manhã;09:00;11:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;FUAD JORGE DAHER;UROLOGISTA;Sexta;Manhã;09:00;11:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;GEORGE KALIL FERREIRA;VASCULAR;Segunda;Tarde;13:00;17:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;GUILHERME MANZAN DUARTE;GINECOLOGISTA;Segunda;Tarde;14:00;17:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;GUILHERME DE OLIVEIRA WILMAN;NEFROLOGISTA;Terça;Tarde;13:00;19:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;GUILHERME DE OLIVEIRA WILMAN;NEFROLOGISTA;Quarta;Tarde;13:00;19:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;GUILHERME DE OLIVEIRA WILMAN;NEFROLOGISTA;Quinta ;Tarde;13:00;19:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;GUILHERME SPINA;PROCTOLOGISTA;Segunda;Manhã;07:00;13:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;GUILHERME SPINA;PROCTOLOGISTA;Terça;Tarde;13:00;18:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;HAMYLTON MAXIMILIANO S. NETO;OTORRINOLARINGOLOGISTA;Segunda;Manhã;06:30;11:30;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;HAMYLTON MAXIMILIANO S. NETO;OTORRINOLARINGOLOGISTA;Terça;Manhã;06:30;10:30;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;HAMYLTON MAXIMILIANO S. NETO;OTORRINOLARINGOLOGISTA;Quarta;Manhã;06:30;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;HAMYLTON MAXIMILIANO S. NETO;OTORRINOLARINGOLOGISTA;Quinta ;Manhã;06:30;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;AMBULATÓRIO DE SAÚDE DO IDOSO ;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;HAMYLTON MAXIMILIANO S. NETO;OTORRINOLARINGOLOGISTA;Sexta;Manhã;06:30;10:30;
